	BIGG	Name	CHEBI
0	hmgcoa	hydroxymethylglutaryl coa c27h39n7o20p3s	CHEBI:11814
0	iamoh	isoamyl alcohol c5h12o	CHEBI:11855
0	ibutac	isobutyl acetate c6h12o2	CHEBI:50569
0	ibutoh	isobutyl alcohol c4h10o	CHEBI:46645
0	id3acald	indole 3 acetaldehyde c10h9no	CHEBI:11477
0	ind3ac	indole 3 acetate c10h8no2	CHEBI:14447
0	ind3eth	indole 3 ethanol c10h11no	CHEBI:14451
0	indpyr	indolepyruvate c11h8no3	CHEBI:11113
0	ipdp	isopentenyl diphosphate	CHEBI:128769
0	leu__L	l-leucine	CHEBI:10866
0	leu__L	l-leucine	CHEBI:10866
0	lys__L	l-lysine	CHEBI:13135
0	lys__L	l-lysine	CHEBI:13135
0	malACP	malonyl-[acyl-carrier protein]	CHEBI:14566
0	malcoa	malonyl coa c24h33n7o19p3s	CHEBI:14565
0	manmi1p__D	mannose 1d myo inositol 1 phosphate c12h21o14p1	CHEBI:60448
0	mhpglu	5 methyltetrahydropteroyltri l glutamate c25h36n8o12	CHEBI:12147
0	nac	nicotinate	CHEBI:14650
0	nad	nicotinamide adenine dinucleotide	CHEBI:13393
0	nad	nicotinamide adenine dinucleotide	CHEBI:13393
0	nadp	nicotinamide adenine dinucleotide phosphate	CHEBI:13397
0	ncam	nicotinamide	CHEBI:14645
0	nh4	ammonium	CHEBI:13405
